S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
3,Queensland,35760,North Burnett,3036,57.20746184,2942,58.31516353,5978,57.74729521
3,Queensland,35780,Northern Peninsula Area,856,59.1568763,915,62.62833676,1771,60.90096286
3,Queensland,35790,Palm Island,697,64.89757914,697,61.14035088,1394,62.96296296
3,Queensland,35800,Paroo,529,59.3714927,492,58.99280576,1021,59.1884058
3,Queensland,36070,Pormpuraaw,222,68.51851852,230,71.875,452,70.1863354
3,Queensland,36150,Quilpie,188,55.45722714,220,59.45945946,408,57.54583921
3,Queensland,36250,Redland,50281,61.34672165,51577,60.78824237,101858,61.06265249
3,Queensland,36300,Richmond,259,64.10891089,237,62.86472149,496,63.50832266
3,Queensland,36370,Rockhampton,26345,63.19867581,26892,62.78629964,53237,62.98969438
3,Queensland,36510,Scenic Rim,13316,59.03790734,13665,60.21680694,26981,59.62915488
3,Queensland,36580,Somerset,7928,59.22163293,7823,60.81312189,15751,60.00152375
3,Queensland,36630,South Burnett,9607,56.02402613,9838,57.39120289,19445,56.7074949
3,Queensland,36660,Southern Downs,10334,55.94413166,10739,56.60446974,21073,56.27870954
3,Queensland,36720,Sunshine Coast,107506,60.82066543,115985,61.3083628,223491,61.07279296
3,Queensland,36820,Tablelands,7456,55.43494424,7900,57.20906655,15356,56.33368796
3,Queensland,36910,Toowoomba,54065,61.15881042,56708,60.7022051,110773,60.92420567
3,Queensland,36950,Torres,1093,62.92458261,1158,65.60906516,2251,64.27755568
3,Queensland,36960,Torres Strait Island,1287,60.33755274,1304,60.56665118,2591,60.45263649
3,Queensland,37010,Townsville,67467,66.69929116,66565,66.37781456,134032,66.5392463
3,Queensland,37300,Weipa,1593,70.7057257,1424,71.27127127,3017,70.97153611
3,Queensland,37310,Western Downs,10855,60.93521949,10510,61.18647028,21365,61.05855791
3,Queensland,37340,Whitsunday,13463,65.73730469,12847,66.80012479,26310,66.2520145
3,Queensland,37400,Winton,323,59.04936015,356,60.23688663,679,59.66608084
3,Queensland,37550,Woorabinda,270,53.57142857,346,59.96533795,616,56.98427382
3,Queensland,37570,Wujal Wujal,88,65.18518519,92,58.2278481,180,61.4334471
3,Queensland,37600,Yarrabah,817,63.92801252,875,64.24375918,1692,64.09090909
4,South Australia,40070,Adelaide,11714,81.596545,10585,78.14691768,22299,79.9218666
4,South Australia,40120,Adelaide Hills,12661,61.4373059,13165,61.99962325,25826,61.722671
4,South Australia,40150,Adelaide Plains,3769,66.4258019,3519,66.92658806,7288,66.66666667
4,South Australia,40220,Alexandrina,7823,51.96625482,8160,53.44161373,15983,52.70916466
4,South Australia,40250,Anangu Pitjantjatjara Yankunytjatjara,905,73.10177706,1007,72.23816356,1912,72.6443769
4,South Australia,40310,Barossa,7860,60.0045805,7844,59.56412788,15704,59.78376732
4,South Australia,40430,Barunga West,721,51.02618542,646,50.98658248,1367,51.00746269
4,South Australia,40520,Berri Barmera,3381,61.25,3086,59.23224568,6467,60.27027027
4,South Australia,40700,Burnside,13898,61.09548092,14688,59.47521866,28586,60.25208667
4,South Australia,40910,Campbelltown (SA),18188,65.54470431,18484,62.84723403,36672,64.15675297
4,South Australia,41010,Ceduna,1169,61.07628004,1041,57.73710483,2210,59.45655098
4,South Australia,41060,Charles Sturt,41299,66.4473155,42027,64.37269288,83326,65.38449466
